advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	impression_code_filter	impression_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
KRETA design		209726079658396	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	14	0	1	0
Gazeta Wyborcza		63563473556	Facebook	0_1k	0 - 1k	SK	Slovakia	2	1	13	0	0	0
Austrian World Summit	R2o Austria & EU	1852365868311086	Facebook	0_1k	0 - 1k	SK	Slovakia	5	1	13	0	1	0
The Good Lobby		1420129598280317	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	13	0	1	0
Guardian Weekly		64525551258	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	12	0	1	0
Soviet Visuals		1160495674016675	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	12	0	0	0
Low-tech Magazine		152332238178200	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	11	0	1	0
Culture Concepts		2014883275418790	Facebook	0_1k	0 - 1k	SK	Slovakia	5	1	11	0	1	0
Comics Heroes		161871388087090	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	10	0	0	0
Liberalist International Association		356741228182930	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	10	0	1	0
Prizeo		378378255568881	Facebook	0_1k	0 - 1k	SK	Slovakia	2	1	10	0	0	0
United States Holocaust Memorial Museum	the United States Holocaust Memorial Museum 	34362997676	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	10	0	0	0
γυρίζουμε		278308089460720	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	9	0	0	0
Coinslv.com		504332043262619	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	9	0	0	0
Diamond MMA		109234291544	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	9	0	0	0
Farmers Corner		562317204157362	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	8	0	0	0
eutopia		1407046686105940	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	8	0	0	0
Candy Riddles Community		131425260918814	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	8	0	0	0
Flora & Fauna		303798486465804	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	7	0	0	0
Gaia		182073298490036	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	7	0	0	0
YOGA BURN		146316959083110	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	7	0	0	0
Master Chef Universal		279581679340572	Facebook	0_1k	0 - 1k	SK	Slovakia	3	1	6	0	0	0
I Love Police & Veterans		131581647631108	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	6	0	0	0
Shopwoah		369904360221896	Facebook	0_1k	0 - 1k	SK	Slovakia	4	1	6	0	0	0
Straw Of Steel		2304645696263363	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	5	0	0	0
ForLynx		677713332646131	Facebook	0_1k	0 - 1k	SK	Slovakia	2	1	5	0	0	0
Online Krebskongress		365969614129867	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	5	0	0	0
Hungary Today		1514921332061615	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	5	0	0	0
Bali Hope		1311505702264274	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	5	0	0	0
